TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,3.500000e+00,3,4,8,0,2,1.0,0.0,4.06653,2.0,8,4.97474,high,0.908204,3.5918,5.50109,13.8177,13.8245,15.8335,11.767,15.8339,19.8175
2,2,2,2,8,8,0,0,1.0,1.0,19.829,3.0,0,20.7262,low,0.897142,3.60286,21.2476,28.0801,28.0843,30.09,10.261,30.0903,38.0799
3,3,5.000000e-01,1,4,0,1,8,1.0,2.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,5.000000e-01,2,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,5.000000e-01,1,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3.500000e+00,2,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,5.000000e-01,3,4,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,5.000000e-01,3,6,4,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,5.000000e-01,2,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5.000000e-01,1,8,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,5.000000e-01,3,6,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,5.000000e-01,2,2,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,1,2,8,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5.000000e-01,3,2,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3.500000e+00,3,6,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3.500000e+00,2,4,0,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,5.000000e-01,2,4,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,3,2,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5.000000e-01,2,4,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,3,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,1,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3.500000e+00,3,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,5.000000e-01,2,4,4,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5.000000e-01,1,4,4,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5.000000e-01,1,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,3,6,4,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,1,4,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5.000000e-01,1,2,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,5.000000e-01,1,4,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,5.000000e-01,2,2,4,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3.500000e+00,3,2,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,5.000000e-01,1,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,1,2,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,2,6,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,5.000000e-01,3,2,0,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,2,8,8,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,3.500000e+00,3,4,8,0,2,1.0,0.0,4.06163,2,999.0,5.04937,999.0,0.987736,3.51226,5.57175,13.8122,13.8181,15.8339,11.7723,15.8343,19.8127
2,2,2,2,8,8,0,0,1.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,3,5.000000e-01,1,4,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,5.000000e-01,2,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,5.000000e-01,1,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3.500000e+00,2,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,5.000000e-01,3,4,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,5.000000e-01,3,6,4,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,5.000000e-01,2,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5.000000e-01,1,8,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,5.000000e-01,3,6,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,5.000000e-01,2,2,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,1,2,8,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5.000000e-01,3,2,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3.500000e+00,3,6,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3.500000e+00,2,4,0,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,5.000000e-01,2,4,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,3,2,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5.000000e-01,2,4,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,3,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,1,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3.500000e+00,3,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,5.000000e-01,2,4,4,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5.000000e-01,1,4,4,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5.000000e-01,1,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,3,6,4,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,1,4,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5.000000e-01,1,2,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,5.000000e-01,1,4,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,5.000000e-01,2,2,4,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3.500000e+00,3,2,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,5.000000e-01,1,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,1,2,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,2,6,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,5.000000e-01,3,2,0,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,2,8,8,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,3.500000e+00,3,4,8,0,2,1.0,0.0,4.0691,2,999.0,5.00833,999.0,0.939234,3.56077,5.5307,13.8192,13.8254,15.8395,11.7704,15.8399,19.8197
2,2,2,2,8,8,0,0,1.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,3,5.000000e-01,1,4,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,5.000000e-01,2,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,5.000000e-01,1,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3.500000e+00,2,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,5.000000e-01,3,4,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,5.000000e-01,3,6,4,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,5.000000e-01,2,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5.000000e-01,1,8,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,5.000000e-01,3,6,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,5.000000e-01,2,2,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,1,2,8,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5.000000e-01,3,2,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3.500000e+00,3,6,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3.500000e+00,2,4,0,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,5.000000e-01,2,4,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,3,2,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5.000000e-01,2,4,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,3,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,1,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3.500000e+00,3,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,5.000000e-01,2,4,4,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5.000000e-01,1,4,4,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5.000000e-01,1,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,3,6,4,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,1,4,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5.000000e-01,1,2,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,5.000000e-01,1,4,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,5.000000e-01,2,2,4,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3.500000e+00,3,2,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,5.000000e-01,1,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,1,2,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,2,6,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,5.000000e-01,3,2,0,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,2,8,8,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,3.500000e+00,3,4,8,0,2,1.0,0.0,4.05738,2,999.0,5.01571,999.0,0.958332,3.54167,5.53663,13.8084,13.8144,15.831,11.7736,15.8314,19.8084
2,2,2,2,8,8,0,0,1.0,1.0,19.8166,3,999.0,20.9678,999.0,1.15115,3.34885,21.4894,28.0677,28.0679,30.0826,10.2659,30.0829,38.0675
3,3,5.000000e-01,1,4,0,1,8,1.0,2.0,38.0809,2,999.0,40.3341,999.0,2.25315,2.24685,40.8611,44.8321,44.8323,46.85,8.76908,46.8503,50.832
4,4,5.000000e-01,2,2,2,1,4,1.0,3.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,5.000000e-01,1,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3.500000e+00,2,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,5.000000e-01,3,4,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,5.000000e-01,3,6,4,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,5.000000e-01,2,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5.000000e-01,1,8,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,5.000000e-01,3,6,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,5.000000e-01,2,2,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,1,2,8,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5.000000e-01,3,2,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3.500000e+00,3,6,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3.500000e+00,2,4,0,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,5.000000e-01,2,4,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,3,2,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5.000000e-01,2,4,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,3,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,1,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3.500000e+00,3,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,5.000000e-01,2,4,4,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5.000000e-01,1,4,4,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5.000000e-01,1,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,3,6,4,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,1,4,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5.000000e-01,1,2,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,5.000000e-01,1,4,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,5.000000e-01,2,2,4,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3.500000e+00,3,2,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,5.000000e-01,1,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,1,2,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,2,6,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,5.000000e-01,3,2,0,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,2,8,8,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,3.500000e+00,3,4,8,0,2,1.0,0.0,4.05647,2,999.0,5.03066,999.0,0.974184,3.52582,5.55217,13.8075,13.8134,15.8291,11.7726,15.8295,19.8075
2,2,2,2,8,8,0,0,1.0,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,3,5.000000e-01,1,4,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,5.000000e-01,2,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,5.000000e-01,1,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3.500000e+00,2,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,5.000000e-01,3,4,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,5.000000e-01,3,6,4,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,5.000000e-01,2,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,5.000000e-01,1,8,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,5.000000e-01,3,6,2,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,5.000000e-01,2,2,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,1,2,8,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,5.000000e-01,3,2,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3.500000e+00,3,6,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3.500000e+00,2,4,0,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,5.000000e-01,2,4,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,2,3,2,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5.000000e-01,2,4,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,3,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,1,2,8,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3.500000e+00,3,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,5.000000e-01,2,4,4,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,5.000000e-01,1,4,4,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,5.000000e-01,1,2,2,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,2,3,6,4,0,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,2,1,4,0,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5.000000e-01,1,2,2,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,5.000000e-01,1,4,8,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,5.000000e-01,2,2,4,0,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3.500000e+00,3,2,0,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,5.000000e-01,1,2,0,1,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,1,2,4,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,2,6,8,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,5.000000e-01,3,2,0,0,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,2,2,8,8,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
