TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,9,2,0.750000,1,1.0,0.0,4.06109,8.0,1.02922,5.09031,9.07819,5.01762,9.07895,9.84036
2,1,2,10,2,0.750000,1,1.0,1.0,9.8438,8.0,2.86726,12.7111,14.858,5.01466,14.8587,15.6246
3,1,3,7,2,0.750000,1,1.0,2.0,15.6278,2.0,1.59998,17.2278,20.6423,5.01491,20.643,21.409
4,1,4,9,2,0.750000,1,1.0,3.0,21.4123,--,--,--,--,--,--,--
5,1,5,3,2,0.750000,1,0.0,--,--,--,--,--,--,--,--,--
6,1,6,8,2,0.750000,1,0.0,--,--,--,--,--,--,--,--,--
7,1,7,6,2,0.750000,1,0.0,--,--,--,--,--,--,--,--,--
8,1,8,9,2,8,1,0.0,--,--,--,--,--,--,--,--,--
9,1,9,7,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
10,1,10,10,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
11,1,11,7,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
12,1,12,5,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
13,1,13,7,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
14,1,14,9,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
15,1,15,2,1,0.750000,2,0.0,--,--,--,--,--,--,--,--,--
16,1,16,8,1,12,2,0.0,--,--,--,--,--,--,--,--,--
17,0,17,3,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
18,0,18,4,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
19,0,19,8,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
20,0,20,1,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
21,0,21,3,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
22,0,22,6,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
23,0,23,3,1,0.750000,3,0.0,--,--,--,--,--,--,--,--,--
24,0,24,4,1,12,3,0.0,--,--,--,--,--,--,--,--,--
25,0,25,10,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
26,0,26,1,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
27,0,27,3,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
28,0,28,3,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
29,0,29,2,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
30,0,30,6,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
31,0,31,1,3,0.750000,4,0.0,--,--,--,--,--,--,--,--,--
32,0,32,4,3,10,4,0.0,--,--,--,--,--,--,--,--,--
33,1,33,10,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
34,1,34,8,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
35,1,35,6,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
36,1,36,4,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
37,1,37,10,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
38,1,38,8,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
39,1,39,9,3,0.750000,5,0.0,--,--,--,--,--,--,--,--,--
40,1,40,10,3,12,5,0.0,--,--,--,--,--,--,--,--,--
41,1,41,6,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
42,1,42,9,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
43,1,43,10,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
44,1,44,7,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
45,1,45,7,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
46,1,46,10,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
47,1,47,8,2,0.750000,6,0.0,--,--,--,--,--,--,--,--,--
48,1,48,2,2,8,6,0.0,--,--,--,--,--,--,--,--,--
49,0,49,4,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
50,0,50,7,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
51,0,51,1,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
52,0,52,1,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
53,0,53,6,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
54,0,54,3,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
55,0,55,3,3,0.750000,7,0.0,--,--,--,--,--,--,--,--,--
56,0,56,3,3,8,7,0.0,--,--,--,--,--,--,--,--,--
57,0,57,6,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
58,0,58,7,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
59,0,59,2,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
60,0,60,1,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
61,0,61,2,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
62,0,62,4,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
63,0,63,1,2,0.750000,8,0.0,--,--,--,--,--,--,--,--,--
64,0,64,1,2,10,8,0.0,--,--,--,--,--,--,--,--,--
65,1,65,10,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
66,1,66,9,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
67,1,67,8,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
68,1,68,10,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
69,1,69,9,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
70,1,70,1,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
71,1,71,6,3,0.750000,9,0.0,--,--,--,--,--,--,--,--,--
72,1,72,10,3,10,9,0.0,--,--,--,--,--,--,--,--,--
